Position Name,Job,Salary,Job Type,Shift & Schedule,Company,Location,Rating,URL,Id,Posted At,Scraped At,Short Description,External Apply Link
Digital Marketing Specialist Sabey,Marketing ,"$58,000 - $75,000 a year",,,Another Source,"Tukwila, WA 98168",5.0,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DGqt214WDoVOy3Bk8bukjFOFKqvB8YwqHsj3c1eFt86sgV-qmKGQw-_CLsdu028S3oAEFdgmyX-blytv2_K-HZTJuqhWB7zxWWkcP3XQJyP_NHbb9EdcZsN-B4YZtmcwvSVeB3tYCqdAAYHJcayFmknN2j5MfqxkSPCsPFpLmd22ZUFl6bCHV3HvtxWHe2mfwYYl7dA7_LM5NeS_d_zvx20mR10Z-aKcZGPujkVnUsq9DBpxAxUhnceTr16tdLkceuT_oNcEwmCHcPCSILbW7o_5RHw9WCcTUn8mcDVrqoaA2C4B_IgrMBN5hCjllhWTGyIsu1fX9XCMUdl7hkp1W7OS0e7jdMv_H0cKkgioh-cGR9bAzow8TuyhXw37yzJH7BQStNc1mfiOEnsRK19PS1mYwkcijhU1bqsNixAuEh69hC0jhaOm2a3cLSrHPeR8ADQd0vmGTWIzb7GvU-oSd_jDOJEL5S4MPFpHDjzF44GNoi_kx580tAz9Ji7RwCfbWzN2BxNLmpwMDoibV2ovFv3Tc9Y-W-VTMEV-WW_flgMAu-IL46na3biio3y-gRvwUDtafE7r-XE2or-c8fhxvdPz7Lsddz21sUP-FRCKRVOo1sKFux22w77PXi36ODoQ0o4XaJzPk2ASsqxv0nm9x4Kq6kii1HvnuiVDbEWOWqo4U5GpWucND_rIDsxK4opyRn0xncXIL0D7ix1ws7o-2D5aHzqGB3fYgM-esVH1JrOlbYbvEcpgm_ELV8o3XwCC9_ToOJTi7U9SOHNoN5KTRjuvONKEjgqswxhOtjxNzI89SqG_z9DuTSN7pOwKR788Q_VIque-K4YWXiYLLCX8mxX_tdxBnBG-m3669AAeQk5lKDZbOB4cZG&xkcb=SoAH-_M3QXvSTA2aA50ObzkdCdPP&p=5&fvj=0&vjs=3,08e0d2c5dd5b47e3,PostedPosted 2 days ago,2023-04-23T17:48:58.244Z," 
 Implementing marketing campaigns and tactics across all digital channels, including PPC, email, social media, website, et al.
",www.indeed.com/applystart?jk=08e0d2c5dd5b47e3
Content Marketing Specialist,Marketing ,,,,Sellmark Corporation,"Mansfield, TX 76063",4.2,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CD27XnwFUpX4wCneQ1Srtv0OvjtefPbpOhas9llXohu6kE7LI3etz4Skj6hC-BlD4ruzL-3rQvuHhV8txK2VKgL6Hf91fv1QLpHIrf8hyhXDJnuTIG4-GHVloZjy8CPd46lCOJ4dVIM90FN_HxjkXRM90iq19ph4Ofa3ahYJBUchRW-AGe8UQMRY5xqIJQneoUTQisvsqh-8uEHrXbiCLTMasSwa1B-lbeWosW9gsYUt1_lhUy1aajKCI3CGoTWOUp40i1Ju-LCUuP07mbjvqWb4FAoTk18eWSpOjUfFkzBi_8uUGMacJVrYrmwxwAvo20GM3Yq5FxfOKaMO0Y4pcO2zZwU9rzmyQSvvzhuhzpH2N1ti9fjjVvyWKFVlSlMcI1bxFuO1ZaVlytY8NCMVicGt_4iZPrHO9gAcfMeN6yEMtl5HUOuO6rKvX-n9fehohdm7qRZDuGVtVu9foUl9zVpK_4zcvJcBz_mCAP-RXivm-IqLzHa-wYxsPmW5042sPRRMZ6X1ymLpfWKeZwMjt3waFM6E4ckBWxSxHE6LWxowGVdLqfNtb5RIgkneQBcrvhELRhsT-7w5L7uEukz4dz4ab89U3mS_pM90Zc6FDhBQ==&xkcb=SoCa-_M3QXvSTA2aA50NbzkdCdPP&p=6&fvj=0&vjs=3,c67cfc36bb9c684a,PostedPosted 30+ days ago,2023-04-23T17:48:58.245Z," 
 Track the social media activity of multiple selected influencers and measure their effectiveness through analytics.
 REPORTS TO: Director of Global Marketing.
",www.indeed.com/applystart?jk=c67cfc36bb9c684a
"Marketing - Manager, Consumer Communications",Marketing ,"$100,000 - $120,000 a year",Full-time,,Aritzia,"New York, NY 10003 (Flatiron area)",3.3,https://www.indeed.com/rc/clk?jk=636030562e8fc439&fccid=230bf53df7c46c1a&vjs=3,636030562e8fc439,PostedPosted 22 days ago,2023-04-23T17:48:58.247Z," 
 Develop a consumer communications approach that increases brand awareness and strengthens media relations amongst top-tier consumer media.
",www.indeed.com/applystart?jk=636030562e8fc439
Brand Marketing Manager,Marketing ,"$90,000 - $120,000 a year",Full-time,,"Dae, Inc.",Remote,,https://www.indeed.com/rc/clk?jk=5a1d1a0bb419d75d&fccid=b3badfb71cb796eb&vjs=3,5a1d1a0bb419d75d,PostedPosted 19 days ago,2023-04-23T17:48:58.248Z," 
 Have a proven track record of successfully managing integrated marketing campaigns across various channels, including trade/retail, social media, email…
",www.indeed.com/applystart?jk=5a1d1a0bb419d75d
Communications Strategist,Marketing ,,,,Gallup,"Hybrid remote in Washington, DC 20004",3.8,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DQ6UeBurswhMmzg_0Uro9PIfT71DsQglHA5GFhKL2jSM5IVWQPSTfQOLAeRSjOP75ks-xsNHsBgFKlI1I1OuJsR-S91d_eP3k-eg-sX7CX8wV1Dig6rhjCaD_UHKbCRPIwXJLfQg5fW6CigUbHllFrR92UxsUF4EJw16pwwNVwa4BtY-8Zb9zAA9lgqMHrcVmLkaKRJXKGzwrYk5qECoDAkEjmlu_sCNwhfi8Iqpwqbjw6f1z1RdGN374PgTZSPMcoysKYzZw58QiiuunIwyk25BuRLCddsL6soRvYaDlwQTaC8nnj5noTYekMD2KuQNhOJx3ZI1OkYmZFmNroe7RhNKnxBqzlGg5cQm4L4HaWesKpkUy0RaX3_53rfW-gcT35a2uwDB1PZmq5LimadWW0e_3ZlIlkw-rX3wfOLeBsappO6yq6yLzW2awZo_vxBSl-g15R72hqZN_uJVuwoEiL9d31WoXw_tiN-2MEwGFDxNI46HkmZ1n1qJrMFHaJTvIkhv2JoAsSFeBnPVeFgZdjNY7vvCikzNo=&xkcb=SoBz-_M3QXvSTA2aA50CbzkdCdPP&p=9&fvj=0&vjs=3,d6ffb5d2f906900a,PostedPosted 26 days ago,2023-04-23T17:48:58.248Z," 
 You will be responsible for media pitching, writing press releases, overseeing social media strategies and launch events, and aligning with clients on a…
",www.indeed.com/applystart?jk=d6ffb5d2f906900a
Content & Engagement Marketing Manager,Marketing ,"$112,000 - $168,000 a year",,,GE Healthcare,Remote,3.9,https://www.indeed.com/rc/clk?jk=4c6b654810028efa&fccid=65b5f2aba4dbd31f&vjs=3,4c6b654810028efa,PostedPosted 4 days ago,2023-04-23T17:48:58.248Z," 
 Experience in driving legal and regulatory content reviews and adjustments, including the use of content review software systems (Veeva Promomats) and content…
",www.indeed.com/applystart?jk=4c6b654810028efa
"Manager, Brand",Marketing ,"From $82,000 a year",Full-time,,National Geographic Society,"Washington, DC",4.1,https://www.indeed.com/rc/clk?jk=4e1cfdd605bce85b&fccid=5d6f8421490978a4&vjs=3,4e1cfdd605bce85b,PostedPosted 10 days ago,2023-04-23T17:48:58.248Z," 
 Driven by the Society's vision to be more globally known for its impactful Explorer-led mission programs, the Division's creative and strategic minds develop…
",www.indeed.com/applystart?jk=4e1cfdd605bce85b
"The North Face: Public Relations Manager, Lifestyle and Influencer Marketing",Marketing ,"$83,376 - $125,064 a year",Full-time,,The North Face,"Denver, CO 80206 (Cherry Creek area)",4.0,https://www.indeed.com/rc/clk?jk=0c619d4a93e5ef51&fccid=ad1670e88d0dd5f3&vjs=3,0c619d4a93e5ef51,PostedPosted 30+ days ago,2023-04-23T17:48:58.249Z," 
 Strategic partner with media and channel marketing, brand management, digital, social media and advertising leads to drive editorial direction and influencer…
",www.indeed.com/applystart?jk=0c619d4a93e5ef51
Online Marketing Campaign Specialist,Marketing ,"From $62,400 a year",Full-time,,"Zoom Video Communications, Inc.",Remote,3.9,https://www.indeed.com/rc/clk?jk=261b354e49567993&fccid=e32d933c26e873c8&vjs=3,261b354e49567993,PostedPosted 30+ days ago,2023-04-23T17:48:58.249Z," 
 Oversee campaigns operations, including writing copy/creative briefs aligned to brand tone/voice and submission to cross-functional legal, localization, and…
",www.indeed.com/applystart?jk=261b354e49567993
Social Media Manager,Marketing ,"$70,000 - $100,000 a year",,,"Atmosfy, Inc",Remote,,https://www.indeed.com/rc/clk?jk=47f8de965c8f28c6&fccid=f768d1a989547912&vjs=3,47f8de965c8f28c6,PostedPosted 8 days ago,2023-04-23T17:48:58.249Z," 
 Atmosfy is seeking a highly creative Social Media Manager who knows Instagram and can assist in social media coverage across Instagram, Twitter, Facebook,…
",www.indeed.com/applystart?jk=47f8de965c8f28c6
